"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2018","6,597.43","6,582.10","6,604.41","6,582.10","","1.26%"
"04/25/2018","6,515.56","6,502.87","6,517.38","6,502.87","","-2.33%"
"04/24/2018","6,671.23","6,673.34","6,675.23","6,668.32","","-0.38%"
"04/23/2018","6,696.85","6,688.03","6,696.85","6,687.85","","-0.88%"
"04/20/2018","6,755.98","6,770.22","6,770.22","6,755.23","","-0.71%"
"04/19/2018","6,804.03","6,823.02","6,823.27","6,803.03","","-0.25%"
"04/18/2018","6,820.82","6,832.61","6,832.61","6,820.75","","1.32%"
"04/17/2018","6,731.82","6,717.47","6,733.19","6,717.47","","1.06%"
"04/16/2018","6,661.19","6,653.61","6,661.90","6,652.72","","-0.46%"
"04/13/2018","6,692.18","6,679.45","6,692.18","6,679.36","","1.10%"
"04/12/2018","6,619.28","6,611.24","6,620.85","6,609.06","","0.43%"
"04/11/2018","6,590.68","6,586.41","6,592.33","6,580.19","","0.55%"
"04/10/2018","6,554.39","6,542.80","6,554.39","6,538.08","","1.17%"
"04/09/2018","6,478.57","6,470.22","6,478.75","6,468.65","","-0.83%"
"04/06/2018","6,532.54","6,535.87","6,554.34","6,532.54","","-1.24%"
"04/05/2018","6,614.75","6,610.27","6,616.08","6,606.62","","4.36%"
"04/04/2018","6,338.61","6,368.03","6,368.03","6,338.61","","-1.64%"
"04/03/2018","6,444.31","6,419.03","6,447.82","6,418.53","","-1.49%"
"04/02/2018","6,541.81","6,555.52","6,556.71","6,541.81","","0.91%"
"03/29/2018","6,482.52","6,483.53","6,491.55","6,480.70","","-0.14%"
"03/28/2018","6,491.55","6,547.12","6,547.12","6,477.84","","-4.39%"
"03/27/2018","6,789.33","6,790.84","6,794.14","6,782.33","","2.43%"
"03/26/2018","6,628.29","6,620.09","6,634.58","6,620.09","","-0.72%"
"03/23/2018","6,676.43","6,676.84","6,687.23","6,672.41","","-1.59%"
"03/22/2018","6,784.06","6,820.32","6,823.33","6,776.02","","-1.21%"
"03/21/2018","6,867.45","6,877.77","6,882.74","6,867.45","","0.12%"
"03/20/2018","6,859.31","6,880.90","6,882.88","6,857.31","","-1.38%"
"03/19/2018","6,955.49","6,964.56","6,966.11","6,954.68","","-1.23%"
"03/16/2018","7,042.28","7,041.01","7,045.18","7,037.80","","-0.12%"
"03/15/2018","7,050.69","7,040.16","7,052.43","7,039.73","","-0.32%"
"03/14/2018","7,073.15","7,065.37","7,073.15","7,064.64","","-1.17%"
"03/13/2018","7,157.05","7,140.43","7,157.82","7,139.37","","0.50%"
"03/12/2018","7,121.49","7,122.44","7,122.88","7,118.31","","1.57%"
"03/09/2018","7,011.15","6,969.95","7,011.15","6,966.76","","0.82%"
"03/08/2018","6,953.96","6,953.54","6,957.10","6,951.19","","1.32%"
"03/07/2018","6,863.64","6,871.40","6,876.02","6,861.46","","-0.82%"
"03/06/2018","6,920.58","6,914.96","6,920.58","6,910.77","","1.98%"
"03/05/2018","6,786.37","6,808.70","6,811.54","6,786.37","","1.67%"
"03/02/2018","6,674.97","6,688.14","6,695.24","6,672.96","","-2.74%"
"03/01/2018","6,862.98","6,848.88","6,871.68","6,848.13","","-0.98%"
"02/28/2018","6,930.70","6,919.88","6,934.35","6,919.78","","-0.73%"
"02/27/2018","6,981.61","6,983.80","6,986.90","6,979.69","","0.83%"
"02/26/2018","6,923.83","6,925.24","6,929.80","6,922.75","","1.77%"
"02/23/2018","6,803.59","6,790.70","6,804.04","6,790.47","","0.30%"
"02/22/2018","6,782.99","6,775.07","6,790.61","6,773.71","","-0.36%"
"02/21/2018","6,807.46","6,800.13","6,810.12","6,800.08","","0.92%"
"02/20/2018","6,745.40","6,749.09","6,753.95","6,745.40","","-0.53%"
"02/16/2018","6,781.30","6,804.52","6,804.80","6,780.70","","0.71%"
"02/15/2018","6,733.55","6,717.80","6,733.55","6,715.94","","3.22%"
"02/14/2018","6,523.73","6,579.97","6,581.24","6,507.28","","0.41%"
"02/13/2018","6,497.21","6,516.22","6,517.45","6,497.21","","0.48%"
"02/12/2018","6,466.36","6,480.58","6,482.65","6,452.23","","1.33%"
"02/09/2018","6,381.66","6,339.47","6,381.91","6,339.47","","-3.38%"
"02/08/2018","6,604.99","6,593.29","6,615.99","6,593.29","","-0.73%"
"02/07/2018","6,653.30","6,653.53","6,654.66","6,643.20","","3.97%"
"02/06/2018","6,399.41","6,417.45","6,439.00","6,390.14","","-4.48%"
"02/05/2018","6,699.82","6,687.68","6,713.78","6,687.68","","-2.50%"
"02/02/2018","6,871.36","6,888.62","6,890.70","6,867.55","","-0.62%"
"02/01/2018","6,914.39","6,954.68","6,954.68","6,912.94","","-0.88%"
"01/31/2018","6,975.49","6,968.94","6,975.65","6,965.33","","0.82%"
"01/30/2018","6,919.00","6,943.65","6,947.60","6,917.01","","-1.27%"
"01/29/2018","7,007.95","7,017.65","7,020.10","7,005.06","","0.75%"
"01/26/2018","6,955.64","6,949.18","6,956.73","6,948.02","","-0.08%"
"01/25/2018","6,961.24","6,957.95","6,961.86","6,956.31","","-0.22%"
"01/24/2018","6,976.53","6,961.74","6,977.62","6,961.74","","0.60%"
"01/23/2018","6,934.69","6,935.72","6,936.62","6,929.53","","1.54%"
"01/22/2018","6,829.68","6,828.60","6,831.34","6,826.17","","0.00%"
"01/19/2018","6,829.97","6,823.83","6,831.60","6,821.25","","0.32%"
"01/18/2018","6,808.26","6,808.08","6,810.79","6,803.63","","0.66%"
"01/17/2018","6,763.94","6,751.30","6,766.22","6,749.05","","-0.61%"
"01/16/2018","6,805.70","6,795.89","6,806.40","6,795.89","","1.62%"
"01/12/2018","6,697.17","6,711.73","6,715.94","6,694.56","","0.31%"
"01/11/2018","6,676.47","6,678.60","6,680.12","6,676.06","","0.44%"
"01/10/2018","6,647.33","6,638.85","6,649.22","6,638.85","","-0.70%"
"01/09/2018","6,694.50","6,686.41","6,695.67","6,686.41","","0.62%"
"01/08/2018","6,653.52","6,658.89","6,660.61","6,653.52","","0.59%"
"01/05/2018","6,614.63","6,602.30","6,614.63","6,602.03","","0.39%"
"01/04/2018","6,588.61","6,581.60","6,591.69","6,581.06","","1.06%"
"01/03/2018","6,519.27","6,514.40","6,519.27","6,511.79","","1.52%"
"01/02/2018","6,421.86","6,408.95","6,422.10","6,408.95","","-0.16%"
"12/29/2017","6,432.40","6,443.51","6,445.19","6,432.18","","-0.22%"
"12/28/2017","6,446.86","6,443.21","6,446.86","6,443.06","","0.23%"
"12/27/2017","6,431.77","6,431.91","6,437.36","6,431.77","","0.05%"
"12/26/2017","6,428.45","6,431.88","6,434.16","6,427.34","","-0.50%"
